#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/hyenadna_mid_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/hyenadna_mid_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/hyenadna_mid_blood/0.977316748657362.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/hyenadna_mid_blood/target.clean..pos
BG14	chr1	22124476	22255547	+	0.000	0.000	1
BG31	chr1	47582776	47713847	+	0.000	0.000	2
BG32	chr1	47885851	48016922	+	0.000	0.000	3
BG77	chr1	73950301	74081372	+	0.000	0.000	4
BG117	chr1	94862476	94993547	+	0.000	0.000	5
BG188	chr1	168509701	168640772	+	0.000	0.000	6
BG190	chr1	170328151	170459222	+	0.000	0.000	7
BG196	chr1	173055826	173186897	+	0.000	0.000	8
BG200	chr1	176692726	176823797	+	0.000	0.000	9
BG270	chr1	218517076	218648147	+	0.000	0.000	10
BG294	chr1	233670826	233801897	+	0.000	0.000	11
BG297	chr1	235489276	235620347	+	0.000	0.000	12
BG301	chr1	239732326	239863397	+	0.000	0.000	13
BG313	chr1	247915351	248046422	+	0.000	0.000	14
BG322	chr10	4849569	4980640	+	0.000	0.000	15
BG323	chr10	5152667	5283738	+	0.000	0.000	16
BG325	chr10	6971255	7102326	+	0.000	0.000	17
BG336	chr10	14851803	14982874	+	0.000	0.000	18
BG364	chr10	35462467	35593538	+	0.000	0.000	19
BG382	chr10	61831993	61963064	+	0.000	0.000	20
BG386	chr10	64862973	64994044	+	0.000	0.000	21
BG430	chr10	106993595	107124666	+	0.000	0.000	22
BG482	chr11	30630271	30761342	+	0.000	0.000	23
BG488	chr11	38515291	38646362	+	0.000	0.000	24
BG496	chr11	58834381	58965452	+	0.000	0.000	25
BG506	chr11	79153471	79284542	+	0.000	0.000	26
BG507	chr11	79456741	79587812	+	0.000	0.000	27
BG512	chr11	84309061	84440132	+	0.000	0.000	28
BG520	chr11	91890811	92021882	+	0.000	0.000	29
BG526	chr11	94620241	94751312	+	0.000	0.000	30
BG527	chr11	95833321	95964392	+	0.000	0.000	31
BG533	chr11	102808531	102939602	+	0.000	0.000	32
BG576	chr12	13344717	13475788	+	0.000	0.000	33
BG580	chr12	15164451	15295522	+	0.000	0.000	34
BG584	chr12	17590763	17721834	+	0.000	0.000	35
BG587	chr12	18803919	18934990	+	0.000	0.000	36
BG596	chr12	23656543	23787614	+	0.000	0.000	37
BG599	chr12	24869699	25000770	+	0.000	0.000	38
BG676	chr12	102511683	102642754	+	0.000	0.000	39
BG677	chr12	102814972	102946043	+	0.000	0.000	40
BG678	chr12	104634706	104765777	+	0.000	0.000	41
BG704	chr12	127078092	127209163	+	0.000	0.000	42
BG715	chr13	25149416	25280487	+	0.000	0.000	43
BG736	chr13	37875626	38006697	+	0.000	0.000	44
BG746	chr13	43329716	43460787	+	0.000	0.000	45
BG776	chr13	75145241	75276312	+	0.000	0.000	46
BG789	chr13	91507511	91638582	+	0.000	0.000	47
BG820	chr14	30589669	30720740	+	0.000	0.000	48
BG832	chr14	39675709	39806780	+	0.000	0.000	49
BG838	chr14	51487561	51618632	+	0.000	0.000	50
BG854	chr14	60876469	61007540	+	0.000	0.000	51
BG879	chr14	78139945	78271016	+	0.000	0.000	52
BG884	chr14	79654285	79785356	+	0.000	0.000	53
BG899	chr14	95100553	95231624	+	0.000	0.000	54
BG903	chr14	96917761	97048832	+	0.000	0.000	55
BG916	chr15	26071331	26202402	+	0.000	0.000	56
BG917	chr15	26677641	26808712	+	0.000	0.000	57
BG927	chr15	36378601	36509672	+	0.000	0.000	58
BG930	chr15	39106996	39238067	+	0.000	0.000	59
BG933	chr15	47292181	47423252	+	0.000	0.000	60
BG949	chr15	60934156	61065227	+	0.000	0.000	61
BG979	chr15	95493826	95624897	+	0.000	0.000	62
BG980	chr15	96100136	96231207	+	0.000	0.000	63
BG981	chr15	96403291	96534362	+	0.000	0.000	64
BG988	chr16	8173117	8304188	+	0.000	0.000	65
BG1017	chr16	47827865	47958936	+	0.000	0.000	66
BG1037	chr16	55698273	55829344	+	0.000	0.000	67
BG1060	chr16	65990345	66121416	+	0.000	0.000	68
BG1078	chr16	78704081	78835152	+	0.000	0.000	69
BG1080	chr16	79309497	79440568	+	0.000	0.000	70
BG1086	chr16	82639285	82770356	+	0.000	0.000	71
BG1122	chr17	21539981	21671052	+	0.000	0.000	72
BG1135	chr17	40956301	41087372	+	0.000	0.000	73
BG1138	chr17	47023901	47154972	+	0.000	0.000	74
BG1142	chr17	56125301	56256372	+	0.000	0.000	75
BG1158	chr17	72811201	72942272	+	0.000	0.000	76
BG1173	chr18	8781201	8912272	+	0.000	0.000	77
BG1209	chr18	51173201	51304272	+	0.000	0.000	78
BG1216	chr18	56926401	57057472	+	0.000	0.000	79
BG1223	chr18	61468401	61599472	+	0.000	0.000	80
BG1270	chr19	43031539	43162610	+	0.000	0.000	81
BG1283	chr19	55759177	55890248	+	0.000	0.000	82
BG1292	chr2	11209373	11340444	+	0.000	0.000	83
BG1293	chr2	11512329	11643400	+	0.000	0.000	84
BG1294	chr2	12118241	12249312	+	0.000	0.000	85
BG1307	chr2	29386733	29517804	+	0.000	0.000	86
BG1336	chr2	56046861	56177932	+	0.000	0.000	87
BG1348	chr2	66044409	66175480	+	0.000	0.000	88
BG1361	chr2	79980385	80111456	+	0.000	0.000	89
BG1363	chr2	83918813	84049884	+	0.000	0.000	90
BG1370	chr2	99672525	99803596	+	0.000	0.000	91
BG1377	chr2	104519821	104650892	+	0.000	0.000	92
BG1381	chr2	108761205	108892276	+	0.000	0.000	93
BG1390	chr2	121485357	121616428	+	0.000	0.000	94
BG1447	chr2	174805613	174936684	+	0.000	0.000	95
BG1468	chr2	192074105	192205176	+	0.000	0.000	96
BG1469	chr2	195406621	195537692	+	0.000	0.000	97
BG1476	chr2	201465741	201596812	+	0.000	0.000	98
BG1484	chr2	205707125	205838196	+	0.000	0.000	99
BG1494	chr2	217219453	217350524	+	0.000	0.000	100
BG1502	chr2	222975617	223106688	+	0.000	0.000	101
BG1554	chr20	20932048	21063119	+	0.000	0.000	102
BG1558	chr20	23662315	23793386	+	0.000	0.000	103
BG1560	chr20	29729575	29860646	+	0.000	0.000	104
BG1598	chr21	17845141	17976212	+	0.000	0.000	105
BG1607	chr21	29338621	29469692	+	0.000	0.000	106
BG1608	chr21	29641081	29772152	+	0.000	0.000	107
BG1655	chr22	45831068	45962139	+	0.000	0.000	108
BG1661	chr3	5757058	5888129	+	0.000	0.000	109
BG1666	chr3	11211112	11342183	+	0.000	0.000	110
BG1671	chr3	17574175	17705246	+	0.000	0.000	111
BG1703	chr3	56055556	56186627	+	0.000	0.000	112
BG1712	chr3	62721622	62852693	+	0.000	0.000	113
BG1713	chr3	63327628	63458699	+	0.000	0.000	114
BG1739	chr3	102112012	102243083	+	0.000	0.000	115
BG1762	chr3	124231231	124362302	+	0.000	0.000	116
BG1854	chr4	24253041	24384112	+	0.000	0.000	117
BG1875	chr4	47596592	47727663	+	0.000	0.000	118
BG1890	chr4	68211676	68342747	+	0.000	0.000	119
BG1892	chr4	68818002	68949073	+	0.000	0.000	120
BG1896	chr4	72759121	72890192	+	0.000	0.000	121
BG1904	chr4	77609729	77740800	+	0.000	0.000	122
BG1914	chr4	84279315	84410386	+	0.000	0.000	123
BG1967	chr4	113382963	113514034	+	0.000	0.000	124
BG1972	chr4	118536734	118667805	+	0.000	0.000	125
BG1974	chr4	120052549	120183620	+	0.000	0.000	126
BG1979	chr4	122174690	122305761	+	0.000	0.000	127
BG1997	chr4	143699263	143830334	+	0.000	0.000	128
BG1998	chr4	144002426	144133497	+	0.000	0.000	129
BG2003	chr4	147034056	147165127	+	0.000	0.000	130
