#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/enformer_mid_lymph/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/enformer_mid_lymph/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/enformer_mid_lymph/0.935258718048321.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/enformer_mid_lymph/target.clean..pos
BG410	chr13	65449081	65580152	+	0.000	0.000	1
BG413	chr13	69994156	70125227	+	0.000	0.000	2
BG414	chr13	70297161	70428232	+	0.000	0.000	3
BG418	chr13	74842236	74973307	+	0.000	0.000	4
BG425	chr13	83932386	84063457	+	0.000	0.000	5
BG426	chr13	84235391	84366462	+	0.000	0.000	6
BG429	chr13	88780466	88911537	+	0.000	0.000	7
BG497	chr14	101460781	101591852	+	0.000	0.000	8
BG498	chr14	106003801	106134872	+	0.000	0.000	9
BG499	chr15	27890261	28021332	+	0.000	0.000	10
BG503	chr15	33650206	33781277	+	0.000	0.000	11
BG504	chr15	35165981	35297052	+	0.000	0.000	12
BG505	chr15	36378601	36509672	+	0.000	0.000	13
BG506	chr15	36681756	36812827	+	0.000	0.000	14
BG507	chr15	36984911	37115982	+	0.000	0.000	15
BG508	chr15	37894376	38025447	+	0.000	0.000	16
BG509	chr15	38803841	38934912	+	0.000	0.000	17
BG510	chr15	39106996	39238067	+	0.000	0.000	18
BG511	chr15	43957476	44088547	+	0.000	0.000	19
BG512	chr15	47898491	48029562	+	0.000	0.000	20
BG513	chr15	48504801	48635872	+	0.000	0.000	21
BG514	chr15	49414266	49545337	+	0.000	0.000	22
BG515	chr15	50020576	50151647	+	0.000	0.000	23
BG516	chr15	53961591	54092662	+	0.000	0.000	24
BG517	chr15	54264746	54395817	+	0.000	0.000	25
BG518	chr15	54567901	54698972	+	0.000	0.000	26
BG519	chr15	55780521	55911592	+	0.000	0.000	27
BG520	chr15	58205761	58336832	+	0.000	0.000	28
BG521	chr15	58508916	58639987	+	0.000	0.000	29
BG522	chr15	60934156	61065227	+	0.000	0.000	30
BG523	chr15	61237311	61368382	+	0.000	0.000	31
BG524	chr15	61843621	61974692	+	0.000	0.000	32
BG525	chr15	62449931	62581002	+	0.000	0.000	33
BG526	chr15	62753086	62884157	+	0.000	0.000	34
BG528	chr15	67603566	67734637	+	0.000	0.000	35
BG529	chr15	71847736	71978807	+	0.000	0.000	36
BG535	chr15	91855966	91987037	+	0.000	0.000	37
BG543	chr15	97919066	98050137	+	0.000	0.000	38
BG552	chr16	16346233	16477304	+	0.000	0.000	39
BG554	chr16	17557065	17688136	+	0.000	0.000	40
BG556	chr16	18162481	18293552	+	0.000	0.000	41
BG558	chr16	24216641	24347712	+	0.000	0.000	42
BG559	chr16	24822057	24953128	+	0.000	0.000	43
BG560	chr16	25124765	25255836	+	0.000	0.000	44
BG561	chr16	32087049	32218120	+	0.000	0.000	45
BG568	chr16	53276609	53407680	+	0.000	0.000	46
BG574	chr16	79006789	79137860	+	0.000	0.000	47
BG581	chr17	3337181	3468252	+	0.000	0.000	48
BG589	chr17	14562241	14693312	+	0.000	0.000	49
BG594	chr17	58855721	58986792	+	0.000	0.000	50
BG597	chr17	62799661	62930732	+	0.000	0.000	51
BG598	chr17	63103041	63234112	+	0.000	0.000	52
BG600	chr17	66743601	66874672	+	0.000	0.000	53
BG608	chr17	73721341	73852412	+	0.000	0.000	54
BG609	chr18	302801	433872	+	0.000	0.000	55
BG610	chr18	1514001	1645072	+	0.000	0.000	56
BG617	chr18	8781201	8912272	+	0.000	0.000	57
BG618	chr18	9992401	10123472	+	0.000	0.000	58
BG638	chr18	44511601	44642672	+	0.000	0.000	59
BG639	chr18	45420001	45551072	+	0.000	0.000	60
