#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_mid_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_mid_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_mid_blood/0.963624953133152.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_mid_blood/target.clean..pos
BG10	chr1	17578351	17709422	+	0.000	0.000	1
BG15	chr1	22427551	22558622	+	0.000	0.000	2
BG16	chr1	24852151	24983222	+	0.000	0.000	3
BG54	chr1	62130376	62261447	+	0.000	0.000	4
BG59	chr1	64554976	64686047	+	0.000	0.000	5
BG97	chr1	81527176	81658247	+	0.000	0.000	6
BG163	chr1	145476001	145607072	+	0.000	0.000	7
BG173	chr1	158205151	158336222	+	0.000	0.000	8
BG206	chr1	178814251	178945322	+	0.000	0.000	9
BG207	chr1	179420401	179551472	+	0.000	0.000	10
BG287	chr1	229427776	229558847	+	0.000	0.000	11
BG296	chr1	235186201	235317272	+	0.000	0.000	12
BG312	chr1	247006126	247137197	+	0.000	0.000	13
BG334	chr10	12427019	12558090	+	0.000	0.000	14
BG342	chr10	18488979	18620050	+	0.000	0.000	15
BG353	chr10	26672625	26803696	+	0.000	0.000	16
BG359	chr10	32431487	32562558	+	0.000	0.000	17
BG383	chr10	62135091	62266162	+	0.000	0.000	18
BG389	chr10	67893953	68025024	+	0.000	0.000	19
BG390	chr10	69106345	69237416	+	0.000	0.000	20
BG395	chr10	72440423	72571494	+	0.000	0.000	21
BG427	chr10	99719243	99850314	+	0.000	0.000	22
BG449	chr10	122451593	122582664	+	0.000	0.000	23
BG468	chr11	9401371	9532442	+	0.000	0.000	24
BG486	chr11	32753161	32884232	+	0.000	0.000	25
BG489	chr11	43670881	43801952	+	0.000	0.000	26
BG493	chr11	47006851	47137922	+	0.000	0.000	27
BG495	chr11	57924571	58055642	+	0.000	0.000	28
BG501	chr11	69752101	69883172	+	0.000	0.000	29
BG504	chr11	75817501	75948572	+	0.000	0.000	30
BG524	chr11	93710431	93841502	+	0.000	0.000	31
BG535	chr11	104931421	105062492	+	0.000	0.000	32
BG557	chr11	129193021	129324092	+	0.000	0.000	33
BG579	chr12	14861162	14992233	+	0.000	0.000	34
BG625	chr12	57928200	58059271	+	0.000	0.000	35
BG640	chr12	68846604	68977675	+	0.000	0.000	36
BG669	chr12	95232747	95363818	+	0.000	0.000	37
BG673	chr12	100691949	100823020	+	0.000	0.000	38
BG675	chr12	101905105	102036176	+	0.000	0.000	39
BG684	chr12	109184041	109315112	+	0.000	0.000	40
BG686	chr12	112216931	112348002	+	0.000	0.000	41
BG688	chr12	113430087	113561158	+	0.000	0.000	42
BG708	chr12	131930716	132061787	+	0.000	0.000	43
BG710	chr13	20907346	21038417	+	0.000	0.000	44
BG756	chr13	52722871	52853942	+	0.000	0.000	45
BG777	chr13	75751251	75882322	+	0.000	0.000	46
BG855	chr14	61179337	61310408	+	0.000	0.000	47
BG869	chr14	69962509	70093580	+	0.000	0.000	48
BG872	chr14	71476849	71607920	+	0.000	0.000	49
BG874	chr14	73294057	73425128	+	0.000	0.000	50
BG907	chr14	102369385	102500456	+	0.000	0.000	51
BG908	chr14	102672253	102803324	+	0.000	0.000	52
BG987	chr16	7264993	7396064	+	0.000	0.000	53
BG995	chr16	16043525	16174596	+	0.000	0.000	54
BG996	chr16	17254357	17385428	+	0.000	0.000	55
BG1001	chr16	22400393	22531464	+	0.000	0.000	56
BG1004	chr16	23611225	23742296	+	0.000	0.000	57
BG1008	chr16	27849137	27980208	+	0.000	0.000	58
BG1094	chr17	910141	1041212	+	0.000	0.000	59
BG1096	chr17	2427041	2558112	+	0.000	0.000	60
BG1104	chr17	10011541	10142612	+	0.000	0.000	61
BG1106	chr17	10618301	10749372	+	0.000	0.000	62
BG1124	chr17	30641381	30772452	+	0.000	0.000	63
BG1125	chr17	30944761	31075832	+	0.000	0.000	64
BG1145	chr17	60676001	60807072	+	0.000	0.000	65
BG1147	chr17	62496281	62627352	+	0.000	0.000	66
BG1151	chr17	67653741	67784812	+	0.000	0.000	67
BG1165	chr17	82519361	82650432	+	0.000	0.000	68
BG1175	chr18	12112001	12243072	+	0.000	0.000	69
BG1192	chr18	32096801	32227872	+	0.000	0.000	70
BG1217	chr18	57834801	57965872	+	0.000	0.000	71
BG1237	chr19	909118	1040189	+	0.000	0.000	72
BG1238	chr19	3333430	3464501	+	0.000	0.000	73
BG1239	chr19	4242547	4373618	+	0.000	0.000	74
BG1241	chr19	8182054	8313125	+	0.000	0.000	75
BG1242	chr19	9091171	9222242	+	0.000	0.000	76
BG1245	chr19	10606366	10737437	+	0.000	0.000	77
BG1246	chr19	11515483	11646554	+	0.000	0.000	78
BG1247	chr19	11818522	11949593	+	0.000	0.000	79
BG1248	chr19	12121561	12252632	+	0.000	0.000	80
BG1249	chr19	12424600	12555671	+	0.000	0.000	81
BG1251	chr19	13636756	13767827	+	0.000	0.000	82
BG1252	chr19	14242834	14373905	+	0.000	0.000	83
BG1253	chr19	16970185	17101256	+	0.000	0.000	84
BG1255	chr19	19697536	19828607	+	0.000	0.000	85
BG1258	chr19	21515770	21646841	+	0.000	0.000	86
BG1264	chr19	31213018	31344089	+	0.000	0.000	87
BG1266	chr19	36970759	37101830	+	0.000	0.000	88
BG1268	chr19	40910266	41041337	+	0.000	0.000	89
BG1272	chr19	44546734	44677805	+	0.000	0.000	90
BG1274	chr19	48183202	48314273	+	0.000	0.000	91
BG1278	chr19	52425748	52556819	+	0.000	0.000	92
BG1279	chr19	52728787	52859858	+	0.000	0.000	93
BG1280	chr19	53031826	53162897	+	0.000	0.000	94
BG1281	chr19	53334865	53465936	+	0.000	0.000	95
BG1282	chr19	54243982	54375053	+	0.000	0.000	96
BG1304	chr2	25448305	25579376	+	0.000	0.000	97
BG1305	chr2	25751261	25882332	+	0.000	0.000	98
BG1314	chr2	32113337	32244408	+	0.000	0.000	99
BG1345	chr2	61197113	61328184	+	0.000	0.000	100
BG1369	chr2	98763657	98894728	+	0.000	0.000	101
BG1372	chr2	100581393	100712464	+	0.000	0.000	102
BG1402	chr2	136027245	136158316	+	0.000	0.000	103
BG1445	chr2	172381965	172513036	+	0.000	0.000	104
BG1472	chr2	197527313	197658384	+	0.000	0.000	105
BG1478	chr2	203586433	203717504	+	0.000	0.000	106
BG1496	chr2	218431277	218562348	+	0.000	0.000	107
BG1497	chr2	218734233	218865304	+	0.000	0.000	108
BG1563	chr20	35493472	35624543	+	0.000	0.000	109
BG1564	chr20	35796835	35927906	+	0.000	0.000	110
BG1565	chr20	37010287	37141358	+	0.000	0.000	111
BG1571	chr20	47021266	47152337	+	0.000	0.000	112
BG1577	chr20	53695252	53826323	+	0.000	0.000	113
BG1611	chr21	31758301	31889372	+	0.000	0.000	114
BG1629	chr21	46276381	46407452	+	0.000	0.000	115
BG1631	chr22	17300470	17431541	+	0.000	0.000	116
