#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_early_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_early_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_early_blood/0.498120332443253.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_early_blood/target.clean..pos
BG53	chr1	61827301	61958372	+	0.000	0.000	3
BG99	chr1	82133326	82264397	+	0.000	0.000	4
BG121	chr1	96377851	96508922	+	0.000	0.000	5
BG127	chr1	98802451	98933522	+	0.000	0.000	6
BG135	chr1	103045501	103176572	+	0.000	0.000	7
BG163	chr1	145476001	145607072	+	0.000	0.000	8
BG173	chr1	158205151	158336222	+	0.000	0.000	9
BG207	chr1	179420401	179551472	+	0.000	0.000	10
BG227	chr1	189724951	189856022	+	0.000	0.000	11
BG240	chr1	196695676	196826747	+	0.000	0.000	12
BG288	chr1	230640076	230771147	+	0.000	0.000	13
BG312	chr1	247006126	247137197	+	0.000	0.000	14
BG359	chr10	32431487	32562558	+	0.000	0.000	15
BG366	chr10	42433721	42564792	+	0.000	0.000	16
BG367	chr10	43646113	43777184	+	0.000	0.000	17
BG378	chr10	56982425	57113496	+	0.000	0.000	18
BG383	chr10	62135091	62266162	+	0.000	0.000	19
BG389	chr10	67893953	68025024	+	0.000	0.000	20
BG390	chr10	69106345	69237416	+	0.000	0.000	21
BG418	chr10	89413911	89544982	+	0.000	0.000	22
BG430	chr10	106993595	107124666	+	0.000	0.000	23
BG449	chr10	122451593	122582664	+	0.000	0.000	24
BG468	chr11	9401371	9532442	+	0.000	0.000	25
BG489	chr11	43670881	43801952	+	0.000	0.000	26
BG500	chr11	68842291	68973362	+	0.000	0.000	27
BG504	chr11	75817501	75948572	+	0.000	0.000	28
BG514	chr11	87341761	87472832	+	0.000	0.000	29
BG516	chr11	87948301	88079372	+	0.000	0.000	30
BG519	chr11	91587541	91718612	+	0.000	0.000	31
BG524	chr11	93710431	93841502	+	0.000	0.000	32
BG541	chr11	114636061	114767132	+	0.000	0.000	33
BG571	chr12	9401960	9533031	+	0.000	0.000	34
BG573	chr12	11524983	11656054	+	0.000	0.000	35
BG579	chr12	14861162	14992233	+	0.000	0.000	36
BG583	chr12	16377607	16508678	+	0.000	0.000	37
BG640	chr12	68846604	68977675	+	0.000	0.000	38
BG669	chr12	95232747	95363818	+	0.000	0.000	39
BG716	chr13	25452421	25583492	+	0.000	0.000	40
BG763	chr13	62116026	62247097	+	0.000	0.000	41
BG774	chr13	74236226	74367297	+	0.000	0.000	42
BG797	chr13	98173621	98304692	+	0.000	0.000	43
